employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5,8,1,0,49,1
65141,Operations,region_22,Bachelor's,m,other,1,30,5,4,0,0,60,1
7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3,7,0,0,50,1
2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1,10,0,0,50,1
48945,Technology,region_26,Bachelor's,m,other,1,45,3,2,0,0,73,1
58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3,7,0,0,85,1
20379,Operations,region_20,Bachelor's,f,other,1,31,3,5,0,0,59,1
16290,Operations,region_34,Master's & above,m,sourcing,1,33,3,6,0,0,63,1
73202,Analytics,region_20,Bachelor's,m,other,1,28,4,5,0,0,83,1
28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5,5,1,0,54,1
29934,Technology,region_23,,m,sourcing,1,30,,1,0,0,77,1
49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5,3,1,0,50,0
60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5,5,1,0,49,1
38401,Technology,region_29,Master's & above,m,other,2,39,3,16,0,0,80,1
77040,R&D,region_2,Master's & above,m,sourcing,1,37,3,7,0,0,84,1
43931,Operations,region_7,Bachelor's,m,other,1,37,1,10,0,0,60,1
7152,Technology,region_2,Bachelor's,m,other,1,38,3,5,1,0,77,1
9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1,4,0,0,51,1
17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5,8,1,0,46,1
54461,Operations,region_15,Bachelor's,m,other,1,37,3,9,0,0,59,1
12067,Procurement,region_14,Bachelor's,m,other,1,35,3,7,0,0,75,1
33332,Operations,region_15,,m,sourcing,1,41,4,11,0,0,57,1
58789,Finance,region_11,Bachelor's,f,other,1,28,3,4,0,0,63,1
71177,Procurement,region_5,Bachelor's,m,other,1,27,,1,0,0,70,1
52057,Finance,region_22,Master's & above,m,sourcing,2,39,5,7,0,0,59,1
26585,Technology,region_22,Bachelor's,m,other,1,27,5,3,1,0,83,1
37749,Procurement,region_26,Bachelor's,m,other,1,31,5,4,1,0,68,1
2370,Technology,region_26,Bachelor's,m,other,1,33,4,4,0,0,79,1
8219,Analytics,region_5,Bachelor's,m,other,1,29,5,3,1,0,80,1
74759,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,,1,0,0,44,1
27395,Procurement,region_15,Bachelor's,m,sourcing,1,37,5,10,1,0,72,1
58536,Finance,region_31,Bachelor's,m,other,2,26,1,2,0,0,61,1
35465,Sales & Marketing,region_7,,f,sourcing,1,24,1,2,0,0,48,1
51756,Operations,region_2,Bachelor's,m,sourcing,2,57,4,6,0,0,58,1
57011,Analytics,region_22,Bachelor's,m,other,2,27,5,3,1,0,87,1
77064,Sales & Marketing,region_22,Bachelor's,m,other,1,40,2,4,1,0,47,1
64062,Technology,region_28,Bachelor's,m,sourcing,1,33,4,4,1,0,75,1
47123,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,40,5,3,0,0,47,1
56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5,5,1,0,51,1
58304,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5,6,1,0,51,0
25014,Technology,region_15,Bachelor's,m,other,1,34,3,10,0,0,80,1
40097,Operations,region_2,Bachelor's,f,other,2,23,4,2,1,0,57,1
23560,HR,region_2,Bachelor's,m,sourcing,1,59,4,26,1,0,52,1
17423,Sales & Marketing,region_2,,m,other,3,24,2,2,0,0,48,1
61758,Analytics,region_2,Bachelor's,m,other,1,44,5,12,0,0,88,1
75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5,11,0,0,71,1
17876,Procurement,region_13,Master's & above,f,other,1,37,4,4,0,0,71,1
36924,Technology,region_16,Bachelor's,m,sourcing,1,40,3,11,0,0,80,1
50408,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3,3,1,0,49,1
18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3,12,0,0,73,1
24104,Finance,region_2,Bachelor's,m,sourcing,1,20,4,2,1,0,60,1
32083,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3,8,0,0,48,1
38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3,12,1,0,65,1
33690,HR,region_22,Bachelor's,m,other,1,30,1,6,0,0,50,1
73161,Operations,region_22,Bachelor's,m,other,1,39,3,5,1,0,62,1
13596,Analytics,region_31,Bachelor's,m,other,2,26,2,2,0,0,85,1
45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,0,0,49,1
32709,R&D,region_22,Master's & above,m,sourcing,1,40,3,5,1,0,84,1
26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,,1,1,0,47,1
32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4,7,0,0,52,1
17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4,17,1,0,47,0
3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3,3,0,0,53,1
9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,1,0,80,1
14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4,2,1,0,52,1
58747,R&D,region_26,Bachelor's,m,other,1,34,5,5,0,0,87,1
3342,Operations,region_13,Master's & above,f,sourcing,1,31,3,3,1,0,58,1
77981,Finance,region_22,Bachelor's,m,other,1,27,,1,1,1,58,0
16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,0,0,61,0
73729,Procurement,region_10,Bachelor's,m,other,1,30,4,6,1,0,75,1
45624,Analytics,region_31,Bachelor's,m,other,1,30,3,7,1,0,84,0
75677,Operations,region_22,Bachelor's,f,other,1,50,5,5,1,0,59,1
24040,Technology,region_22,Master's & above,m,other,1,34,5,7,1,0,78,0
68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1,12,0,0,52,1
51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4,6,0,0,44,1
77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3,14,0,0,52,1
54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4,2,1,0,49,0
52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1,5,0,0,51,1
75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4,3,1,0,53,1
7520,Analytics,region_2,Bachelor's,m,other,1,25,3,2,1,0,91,1
59147,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3,3,0,0,58,0
53092,Technology,region_2,Bachelor's,m,referred,1,47,3,7,0,0,79,1
34564,Operations,region_4,Master's & above,m,sourcing,1,35,2,7,0,0,53,1
66013,Sales & Marketing,region_2,,m,sourcing,2,25,3,2,0,0,53,1
77135,R&D,region_22,Bachelor's,m,other,1,36,4,8,0,0,82,1
44575,Legal,region_7,Bachelor's,m,other,1,29,,1,0,0,65,0
47498,Operations,region_11,Master's & above,f,sourcing,1,42,5,11,1,0,60,0
